charity_reg_num,full_view_year,field,value_1,value_2,value_3,value_4,insert_date
119052124,2022-03-31,"Cash, bank accounts, and short-term investments",4100,"$13,951,624.00",,,2023-11-27 17:27:46
119052124,2022-03-31,Amounts receivable from non-arm's length persons,4110,,,,2023-11-27 17:27:46
119052124,2022-03-31,Amounts receivable from all others,4120,"$243,250.00",,,2023-11-27 17:27:46
119052124,2022-03-31,Investments in non-arm's length persons,4130,,,,2023-11-27 17:27:46
119052124,2022-03-31,Long-term investments,4140,,,,2023-11-27 17:27:46
119052124,2022-03-31,Inventories,4150,,,,2023-11-27 17:27:46
119052124,2022-03-31,Land and buildings in Canada,4155,"$8,959,128.00",,,2023-11-27 17:27:46
119052124,2022-03-31,Other capital assets in Canada,4160,"$3,878,414.00",,,2023-11-27 17:27:46
119052124,2022-03-31,Capital assets outside Canada,4165,,,,2023-11-27 17:27:46
119052124,2022-03-31,Accumulated amortization of capital assets (enter negative amount),4166,"$-5,481,676.00",,,2023-11-27 17:27:46
119052124,2022-03-31,Other assets,4170,"$15,642.00",,,2023-11-27 17:27:46
119052124,2022-03-31,10 year gifts,4180,,,,2023-11-27 17:27:46
119052124,2022-03-31,Total assets (add lines 4100 to 4170),4200,"$21,566,382.00",,,2023-11-27 17:27:46
119052124,2022-03-31,"Amount included in lines 4150, 4155, 4160, 4165 and 4170 not used in charitable activities",4250,,,,2023-11-27 17:27:46
119052124,2022-03-31,Accounts payable and accrued liabilities,4300,"$959,052.00",,,2023-11-27 17:27:46
119052124,2022-03-31,Deferred revenue,4310,"$10,395,127.00",,,2023-11-27 17:27:46
119052124,2022-03-31,Amounts owing to non-arm's length persons,4320,"$15,004.00",,,2023-11-27 17:27:46
119052124,2022-03-31,Other liabilities,4330,"$3,807,701.00",,,2023-11-27 17:27:46
119052124,2022-03-31,Total liabilities (add lines 4300 to 4330),4350,"$15,176,884.00",,,2023-11-27 17:27:46
119052124,2022-03-31,Total eligible amount of all gifts for which the charity issued tax receipts,4500,"$3,210.00",,,2023-11-27 17:27:46
119052124,2022-03-31,Total eligible amount of tax-receipted tuition fees,5610,,,,2023-11-27 17:27:46
119052124,2022-03-31,Total amount of 10 year gifts received,4505,,,,2023-11-27 17:27:46
119052124,2022-03-31,Total amount received from other registered charities,4510,"$54,155.00",,,2023-11-27 17:27:46
119052124,2022-03-31,Total other gifts received for which a tax receipt was not issued by the charity (excluding amounts at lines 4575 and 4630),4530,,,,2023-11-27 17:27:46
119052124,2022-03-31,Total revenue received from federal government,4540,"$5,437,939.00",,,2023-11-27 17:27:46
